LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-83.9306942,42.0208424,4587,MACON RD,,,,,,,0f1d71c71bb84f25
-83.9313701,42.0205806,952,MACON RD,,,,,,,e063eaa401c7e1d5
-83.932255,42.0205634,944,MACON RD,,,,,,,c6b1c6f444a0684c
-83.9331333,42.0205256,940,MACON RD,,,,,,,83e2941141f61fba
-83.9355999,42.0203649,700,MACON RD BLK,,,,,,,40ffdb3c081d2003
-83.9430275,42.0212646,908,RED MILL DR,,,,,,,ed8918cb0f01b7fc
-83.9368838,42.0211769,912,MACON RD,,,,,,,de9a6345d5188ec0
-83.9550171,42.0213996,925,N UNION ST,,,,,,,7f53dce399972536
-83.9462429,42.0266304,1104,N RIVER CT,,,,,,,659b1722f8ae77e9
-83.9660411,42.021292,919,N OCCIDENTAL RD,,,,,,,5c8f327b3a86e72b
-83.9468711,42.0268423,1108,N RIVER CT,,,,,,,c0747d3ba7e0b982
-83.9272421,42.0213391,839,STETSON ST,,,,,,,9124c63862394fba
-83.9478965,42.0267299,1107,N RIVER CT,,,,,,,c3c3bb3a37e0071d
-83.9377746,42.0211556,910,MACON RD,,,,,,,25a685baa4efd8ef
-83.9613675,42.0239513,1001,N UNION ST,,,,,,,118ec8f77b3ed5f6
-83.9424531,42.0213038,907,RIVER ACRES DR,,,,,,,6510db94fd41588f
-83.939228,42.0192921,804,N EVANS ST,,,,,,,19efd45147ba72d5
-83.9458977,42.0262071,1102,N RIVER CT,,,,,,,bc83f09a3bee5330
-83.9263701,42.021329,840,STETSON ST,,,,,,,be5fcff5be156e62
-83.9276555,42.0211512,829,DERBY DR,,,,,,,b433b94be77ec1b8
-83.9472711,42.0261396,1105,N RIVER CT,,,,,,,e5958276f1beb1ac
-83.9401733,42.021299,828,N EVANS ST,,,,,,,e2ed41aa1c25a9c6
-83.9466946,42.025784,1103,N RIVER CT,,,,,,,a2070ef7001311fd
-83.9555685,42.0213512,924,RED OAK CT,,,,,,,e6a595e081d84b92
-83.9454284,42.0257106,1022,RIVER ACRES DR,,,,,,,80fca17de485ef4f
-83.9562813,42.021307,500,RED MAPLE DR,,,,,,,c0916971d9963fcb
-83.9566893,42.0213039,502,RED MAPLE DR,,,,,,,d597747d6bce0178
-83.9451706,42.0254255,1020,RIVER ACRES DR,,,,,,,a241dd00b0669e97
-83.9570398,42.0213066,504,RED MAPLE DR,,,,,,,68bba680ce6e3e99
-83.9465634,42.0252173,1021,RED MILL DR,,,,,,,e952263457928e26
-83.9573766,42.0212757,506,RED MAPLE DR,,,,,,,e65ec1636bcf9517
-83.9449129,42.0251507,1018,RIVER ACRES DR,,,,,,,e9828930e07a019d
-83.9415398,42.0211894,906,RIVER ACRES DR,,,,,,,b1784ebf5a38cb93
-83.9458464,42.0250689,1020,RED MILL DR,,,,,,,924184868944eba9
-83.9577246,42.0212043,508,RED MAPLE DR,,,,,,,898fb69845fad1cd
-83.9446704,42.0249004,1016,RIVER ACRES DR,,,,,,,1006e568aeeb5f13
-83.9580856,42.0211152,510,RED MAPLE DR,,,,,,,37019c49a1dd5649
-83.9455814,42.0247975,1019,RIVER ACRES DR,,,,,,,86a3a766a09c82d4
-83.9271011,42.0210714,837,STETSON ST,,,,,,,2d7c1d16bb4f2910
-83.9444287,42.0246499,1014,RIVER ACRES DR,,,,,,,cb509d5d4b2d62be
-83.9469415,42.0243516,1017,RED MILL DR,,,,,,,c6ebdfab6632d164
-83.9548529,42.0211082,923,N UNION ST,,,,,,,b8966e3962d1a06e
-83.9262956,42.0210461,838,STETSON ST,,,,,,,46c81f535c1443d5
-83.9281293,42.0209851,827,DERBY DR,,,,,,,b20abeb5fdc642f8
-83.9460297,42.0245885,1018,RED MILL DR,,,,,,,0daf16474422dc9f
-83.9453353,42.0245432,1017,RIVER ACRES DR,,,,,,,6129d73363312f9a
-83.9437583,42.02061,903,RED MILL DR,,,,,,,481083535fd88d49
-83.9584558,42.0210159,512,RED MAPLE DR,,,,,,,cfbf00e73564f23e
-83.9536361,42.0230203,9103,N UNION ST,,,,,,,e7f783b03f32b764
-83.9284083,42.0207158,825,DERBY DR,,,,,,,05d46507acd69daa
-83.9510253,42.0228227,9000,N UNION ST BLK,,,,,,,b45b39f1d3418cb2
-83.9423119,42.02098,905,RIVER ACRES DR,,,,,,,875d025414e6f8f4
-83.9554453,42.0210955,922,RED OAK CT,,,,,,,36a4a19af8249574
-83.9441869,42.0243994,1012,RIVER ACRES DR,,,,,,,7b5bfade712e7358
-83.9492524,42.0182256,700,BISHOP REED DR BLK,,,,,,,11f07bea1dc86fca
-83.9457834,42.0243026,1016,RED MILL DR,,,,,,,0ed0d41b266f9feb
-83.9450929,42.0242928,1015,RIVER ACRES DR,,,,,,,add1d6ff48b8504d
-83.9614509,42.0209755,610,RED MAPLE DR,,,,,,,4d3ca24e28e2edd2
-83.9439444,42.0241491,1010,RIVER ACRES DR,,,,,,,b009ae752f9313c0
-83.9589635,42.0210304,514,RED MAPLE DR,,,,,,,538396b9d1cb1a3f
-83.9605463,42.0209464,606,RED MAPLE DR,,,,,,,4c6e036f680762c7
-83.945541,42.0240521,1014,RED MILL DR,,,,,,,db165df6685b18f7
-83.9448504,42.0240424,1013,RIVER ACRES DR,,,,,,,a83a4d743781cf9e
-83.9597459,42.021025,923,CHESTNUT LANE,,,,,,,45dd7e19e54b5547
-83.9437019,42.0238986,1008,RIVER ACRES DR,,,,,,,d374a46da65aa76a
-83.9609785,42.0208752,608,RED MAPLE DR,,,,,,,eba477aac9002e52
-83.960186,42.0209397,604,RED MAPLE DR,,,,,,,3af026e1dca2d350
-83.962714,42.0186312,100,N OCCIDENTAL RD,,,,,,,bd4b67e0492622b2
-83.946692,42.0234425,1013,RED MILL DR,,,,,,,915f029df01e111f
-83.9414294,42.0208691,904,RIVER ACRES DR,,,,,,,0d30ed9a0e701980
-83.9428056,42.0207611,902,RED MILL DR,,,,,,,283492d29fb4ccde
-83.9452986,42.0238017,1012,RED MILL DR,,,,,,,c09d0f99d06ff056
-83.9561726,42.0209006,503,HICKORY RIDGE DR,,,,,,,8d756d497b9ef0c0
-83.9446092,42.023792,1011,RIVER ACRES DR,,,,,,,14abcc189362c4f4
-83.9434601,42.0236482,1006,RIVER ACRES DR,,,,,,,ecfb07a659fdc505
-83.9450561,42.0235513,1010,RED MILL DR,,,,,,,72963711c1e98ff0
-83.9566073,42.0209071,505,HICKORY RIDGE DR,,,,,,,e760c85afe3d1275
-83.9569923,42.020906,507,HICKORY RIDGE DR,,,,,,,95b57864b7be890d
-83.9660034,42.0208938,915,N OCCIDENTAL RD,,,,,,,bc956af42759d133
-83.9443661,42.0235416,1009,RIVER ACRES DR,,,,,,,f9ef7601a79db74d
-83.9573725,42.0208589,509,HICKORY RIDGE DR,,,,,,,0ba75172d869a9af
-83.9547133,42.0208615,921,N UNION ST,,,,,,,d655842bf31799dc
-83.9432183,42.0233978,1004,RIVER ACRES DR,,,,,,,7e5cbe29e287c17f
-83.9521636,42.0209067,301,CREE CT,,,,,,,799a8dafb22fd262
-83.9448137,42.0233008,1008,RED MILL DR,,,,,,,d0e6edc1c141daee
-83.9441231,42.0232912,1007,RIVER ACRES DR,,,,,,,dcb7a6832fdafc43
-83.9459161,42.0229751,1009,RED MILL DR,,,,,,,ee9f72103c08e990
-83.9429758,42.0231475,1002,RIVER ACRES DR,,,,,,,0cc212023b8d23fe
-83.9525949,42.0208805,303,CREE CT,,,,,,,415f96afa860bb90
-83.9445719,42.0230505,1006,RED MILL DR,,,,,,,9fa15be9d0611f8e
-83.9438819,42.0230408,1005,RIVER ACRES DR,,,,,,,c0603cf81c5446ec
-83.9667077,42.0208347,1302,PARTRIDGE CT,,,,,,,d801af6079293ae9
-83.9427334,42.0228971,1000,RIVER ACRES DR,,,,,,,21ca3e848819c458
-83.9528907,42.0208613,305,CREE CT,,,,,,,7ad1bb65445945dd
-83.9443301,42.0228001,1004,RED MILL DR,,,,,,,cf263fe4020c9a19
-83.9531732,42.0208549,307,CREE CT,,,,,,,6f2049f300cb8fec
-83.9436407,42.0227904,1003,RIVER ACRES DR,,,,,,,d391540ae7e9a1e4
-83.9553203,42.020876,920,RED OAK CT,,,,,,,7cefb44c653372d8
-83.9453001,42.0226433,1005,RED MILL DR,,,,,,,88f27337a0e9734e
-83.9672433,42.0208871,1300,PARTRIDGE CT,,,,,,,ef1e0d12fbd8e25a
-83.9534811,42.0208509,309,CREE CT,,,,,,,21e557b5fde70169
